,SE UniICD,System,Description
10647,8:733,Injury,"abdomen, lower back, lumbar spine and pelvis"
10648,8:796,Injury,"abdomen, lower back, lumbar spine and pelvis"
10649,8:804,Injury,"abdomen, lower back, lumbar spine and pelvis"
10650,8:805,Injury,"abdomen, lower back, lumbar spine and pelvis"
10651,"8:805,2",Injury,"abdomen, lower back, lumbar spine and pelvis"
10652,"8:805,3",Injury,"abdomen, lower back, lumbar spine and pelvis"
10653,"8:805,4",Injury,"abdomen, lower back, lumbar spine and pelvis"
10654,"8:805,5",Injury,"abdomen, lower back, lumbar spine and pelvis"
10655,"8:805,6",Injury,"abdomen, lower back, lumbar spine and pelvis"
10656,"8:805,7",Injury,"abdomen, lower back, lumbar spine and pelvis"
10657,"8:805,9",Injury,"abdomen, lower back, lumbar spine and pelvis"
10658,8:806,Injury,"abdomen, lower back, lumbar spine and pelvis"
10659,"8:806,2",Injury,"abdomen, lower back, lumbar spine and pelvis"
10660,"8:806,3",Injury,"abdomen, lower back, lumbar spine and pelvis"
10661,"8:806,4",Injury,"abdomen, lower back, lumbar spine and pelvis"
10662,"8:806,5",Injury,"abdomen, lower back, lumbar spine and pelvis"
10663,"8:806,6",Injury,"abdomen, lower back, lumbar spine and pelvis"
10664,"8:806,7",Injury,"abdomen, lower back, lumbar spine and pelvis"
10665,8:808,Injury,"abdomen, lower back, lumbar spine and pelvis"
10666,"8:808,0",Injury,"abdomen, lower back, lumbar spine and pelvis"
10667,"8:808,1",Injury,"abdomen, lower back, lumbar spine and pelvis"
10668,8:809,Injury,"abdomen, lower back, lumbar spine and pelvis"
10669,"8:809,9",Injury,"abdomen, lower back, lumbar spine and pelvis"
10670,8:810,Injury,"abdomen, lower back, lumbar spine and pelvis"
10671,8:811,Injury,"abdomen, lower back, lumbar spine and pelvis"
10672,8:812,Injury,"abdomen, lower back, lumbar spine and pelvis"
10673,8:813,Injury,"abdomen, lower back, lumbar spine and pelvis"
10674,8:814,Injury,"abdomen, lower back, lumbar spine and pelvis"
10675,8:815,Injury,"abdomen, lower back, lumbar spine and pelvis"
10676,8:816,Injury,"abdomen, lower back, lumbar spine and pelvis"
10677,8:817,Injury,"abdomen, lower back, lumbar spine and pelvis"
10678,8:818,Injury,"abdomen, lower back, lumbar spine and pelvis"
10679,8:820,Injury,"abdomen, lower back, lumbar spine and pelvis"
10680,"8:820,4",Injury,"abdomen, lower back, lumbar spine and pelvis"
10681,"8:820,5",Injury,"abdomen, lower back, lumbar spine and pelvis"
10682,8:828,Injury,"abdomen, lower back, lumbar spine and pelvis"
10683,8:829,Injury,"abdomen, lower back, lumbar spine and pelvis"
10684,8:839,Injury,"abdomen, lower back, lumbar spine and pelvis"
10685,"8:839,5",Injury,"abdomen, lower back, lumbar spine and pelvis"
10686,"8:839,6",Injury,"abdomen, lower back, lumbar spine and pelvis"
10687,"8:839,9",Injury,"abdomen, lower back, lumbar spine and pelvis"
10688,8:846,Injury,"abdomen, lower back, lumbar spine and pelvis"
10689,8:847,Injury,"abdomen, lower back, lumbar spine and pelvis"
10690,"8:847,8",Injury,"abdomen, lower back, lumbar spine and pelvis"
10691,"8:847,9",Injury,"abdomen, lower back, lumbar spine and pelvis"
10692,8:848,Injury,"abdomen, lower back, lumbar spine and pelvis"
10693,8:854,Injury,"abdomen, lower back, lumbar spine and pelvis"
10694,8:862,Injury,"abdomen, lower back, lumbar spine and pelvis"
10695,8:863,Injury,"abdomen, lower back, lumbar spine and pelvis"
10696,"8:863,0",Injury,"abdomen, lower back, lumbar spine and pelvis"
10697,"8:863,1",Injury,"abdomen, lower back, lumbar spine and pelvis"
10698,8:864,Injury,"abdomen, lower back, lumbar spine and pelvis"
10699,"8:864,0",Injury,"abdomen, lower back, lumbar spine and pelvis"
10700,"8:864,1",Injury,"abdomen, lower back, lumbar spine and pelvis"
10701,8:865,Injury,"abdomen, lower back, lumbar spine and pelvis"
10702,"8:865,0",Injury,"abdomen, lower back, lumbar spine and pelvis"
10703,"8:865,1",Injury,"abdomen, lower back, lumbar spine and pelvis"
10704,8:866,Injury,"abdomen, lower back, lumbar spine and pelvis"
10705,"8:866,0",Injury,"abdomen, lower back, lumbar spine and pelvis"
10706,"8:866,1",Injury,"abdomen, lower back, lumbar spine and pelvis"
10707,8:867,Injury,"abdomen, lower back, lumbar spine and pelvis"
10708,"8:867,0",Injury,"abdomen, lower back, lumbar spine and pelvis"
10709,"8:867,1",Injury,"abdomen, lower back, lumbar spine and pelvis"
10710,8:868,Injury,"abdomen, lower back, lumbar spine and pelvis"
10711,"8:868,0",Injury,"abdomen, lower back, lumbar spine and pelvis"
10712,"8:868,1",Injury,"abdomen, lower back, lumbar spine and pelvis"
10713,"8:868,9",Injury,"abdomen, lower back, lumbar spine and pelvis"
10714,8:869,Injury,"abdomen, lower back, lumbar spine and pelvis"
10715,"8:869,0",Injury,"abdomen, lower back, lumbar spine and pelvis"
10716,"8:869,1",Injury,"abdomen, lower back, lumbar spine and pelvis"
10717,"8:869,9",Injury,"abdomen, lower back, lumbar spine and pelvis"
10718,8:876,Injury,"abdomen, lower back, lumbar spine and pelvis"
10719,"8:876,0",Injury,"abdomen, lower back, lumbar spine and pelvis"
10720,"8:876,1",Injury,"abdomen, lower back, lumbar spine and pelvis"
10721,8:877,Injury,"abdomen, lower back, lumbar spine and pelvis"
10722,"8:877,0",Injury,"abdomen, lower back, lumbar spine and pelvis"
10723,"8:877,1",Injury,"abdomen, lower back, lumbar spine and pelvis"
10724,8:878,Injury,"abdomen, lower back, lumbar spine and pelvis"
10725,"8:878,0",Injury,"abdomen, lower back, lumbar spine and pelvis"
10726,"8:878,1",Injury,"abdomen, lower back, lumbar spine and pelvis"
10727,8:879,Injury,"abdomen, lower back, lumbar spine and pelvis"
10728,"8:879,0",Injury,"abdomen, lower back, lumbar spine and pelvis"
10729,"8:879,1",Injury,"abdomen, lower back, lumbar spine and pelvis"
10730,"8:879,7",Injury,"abdomen, lower back, lumbar spine and pelvis"
10731,"8:879,8",Injury,"abdomen, lower back, lumbar spine and pelvis"
10732,"8:879,9",Injury,"abdomen, lower back, lumbar spine and pelvis"
10733,8:894,Injury,"abdomen, lower back, lumbar spine and pelvis"
10734,8:911,Injury,"abdomen, lower back, lumbar spine and pelvis"
10735,"8:911,0",Injury,"abdomen, lower back, lumbar spine and pelvis"
10736,8:918,Injury,"abdomen, lower back, lumbar spine and pelvis"
10737,"8:918,9",Injury,"abdomen, lower back, lumbar spine and pelvis"
10738,8:922,Injury,"abdomen, lower back, lumbar spine and pelvis"
10739,"8:922,0",Injury,"abdomen, lower back, lumbar spine and pelvis"
10740,8:929,Injury,"abdomen, lower back, lumbar spine and pelvis"
10741,"8:929,0",Injury,"abdomen, lower back, lumbar spine and pelvis"
10742,"8:929,9",Injury,"abdomen, lower back, lumbar spine and pelvis"
10743,8:930,Injury,"abdomen, lower back, lumbar spine and pelvis"
10744,8:931,Injury,"abdomen, lower back, lumbar spine and pelvis"
10745,8:932,Injury,"abdomen, lower back, lumbar spine and pelvis"
10746,8:933,Injury,"abdomen, lower back, lumbar spine and pelvis"
10747,8:934,Injury,"abdomen, lower back, lumbar spine and pelvis"
10748,8:935,Injury,"abdomen, lower back, lumbar spine and pelvis"
10749,8:936,Injury,"abdomen, lower back, lumbar spine and pelvis"
10750,8:937,Injury,"abdomen, lower back, lumbar spine and pelvis"
10751,8:938,Injury,"abdomen, lower back, lumbar spine and pelvis"
10752,8:939,Injury,"abdomen, lower back, lumbar spine and pelvis"
10753,8:940,Injury,"abdomen, lower back, lumbar spine and pelvis"
10754,8:941,Injury,"abdomen, lower back, lumbar spine and pelvis"
10755,8:949,Injury,"abdomen, lower back, lumbar spine and pelvis"
10756,8:951,Injury,"abdomen, lower back, lumbar spine and pelvis"
10757,8:956,Injury,"abdomen, lower back, lumbar spine and pelvis"
10758,8:958,Injury,"abdomen, lower back, lumbar spine and pelvis"
10759,"8:958,2",Injury,"abdomen, lower back, lumbar spine and pelvis"
10760,"8:958,4",Injury,"abdomen, lower back, lumbar spine and pelvis"
10761,"8:958,6",Injury,"abdomen, lower back, lumbar spine and pelvis"
10762,"8:958,9",Injury,"abdomen, lower back, lumbar spine and pelvis"
10763,8:959,Injury,"abdomen, lower back, lumbar spine and pelvis"
10764,"8:959,2",Injury,"abdomen, lower back, lumbar spine and pelvis"
10765,"8:959,9",Injury,"abdomen, lower back, lumbar spine and pelvis"
10766,8:960,Injury,"abdomen, lower back, lumbar spine and pelvis"
10767,8:962,Injury,"abdomen, lower back, lumbar spine and pelvis"
10768,8:964,Injury,"abdomen, lower back, lumbar spine and pelvis"
10769,8:965,Injury,"abdomen, lower back, lumbar spine and pelvis"
10770,8:977,Injury,"abdomen, lower back, lumbar spine and pelvis"
10771,8:995,Injury,"abdomen, lower back, lumbar spine and pelvis"
10772,"8:995,3",Injury,"abdomen, lower back, lumbar spine and pelvis"
10773,8:996,Injury,"abdomen, lower back, lumbar spine and pelvis"
10774,"8:996,1",Injury,"abdomen, lower back, lumbar spine and pelvis"
10775,8:997,Injury,"abdomen, lower back, lumbar spine and pelvis"
10776,8:E989,Injury,"abdomen, lower back, lumbar spine and pelvis"
10777,8:Y30,Injury,"abdomen, lower back, lumbar spine and pelvis"
10778,8:Y34,Injury,"abdomen, lower back, lumbar spine and pelvis"
10779,"8:Y34,9",Injury,"abdomen, lower back, lumbar spine and pelvis"
10780,8:Y39,Injury,"abdomen, lower back, lumbar spine and pelvis"
10781,9:733,Injury,"abdomen, lower back, lumbar spine and pelvis"
10782,9:733W,Injury,"abdomen, lower back, lumbar spine and pelvis"
10783,9:805,Injury,"abdomen, lower back, lumbar spine and pelvis"
10784,9:805E,Injury,"abdomen, lower back, lumbar spine and pelvis"
10785,9:805F,Injury,"abdomen, lower back, lumbar spine and pelvis"
10786,9:805G,Injury,"abdomen, lower back, lumbar spine and pelvis"
10787,9:805H,Injury,"abdomen, lower back, lumbar spine and pelvis"
10788,9:805W,Injury,"abdomen, lower back, lumbar spine and pelvis"
10789,9:805X,Injury,"abdomen, lower back, lumbar spine and pelvis"
10790,9:806,Injury,"abdomen, lower back, lumbar spine and pelvis"
10791,9:806E,Injury,"abdomen, lower back, lumbar spine and pelvis"
10792,9:806F,Injury,"abdomen, lower back, lumbar spine and pelvis"
10793,9:806G,Injury,"abdomen, lower back, lumbar spine and pelvis"
10794,9:806H,Injury,"abdomen, lower back, lumbar spine and pelvis"
10795,9:806W,Injury,"abdomen, lower back, lumbar spine and pelvis"
10796,9:806X,Injury,"abdomen, lower back, lumbar spine and pelvis"
10797,9:808,Injury,"abdomen, lower back, lumbar spine and pelvis"
10798,9:808A,Injury,"abdomen, lower back, lumbar spine and pelvis"
10799,9:808B,Injury,"abdomen, lower back, lumbar spine and pelvis"
10800,9:808C,Injury,"abdomen, lower back, lumbar spine and pelvis"
10801,9:808D,Injury,"abdomen, lower back, lumbar spine and pelvis"
10802,9:808E,Injury,"abdomen, lower back, lumbar spine and pelvis"
10803,9:808F,Injury,"abdomen, lower back, lumbar spine and pelvis"
10804,9:808W,Injury,"abdomen, lower back, lumbar spine and pelvis"
10805,9:808X,Injury,"abdomen, lower back, lumbar spine and pelvis"
10806,9:839,Injury,"abdomen, lower back, lumbar spine and pelvis"
10807,9:839C,Injury,"abdomen, lower back, lumbar spine and pelvis"
10808,9:839D,Injury,"abdomen, lower back, lumbar spine and pelvis"
10809,9:839E,Injury,"abdomen, lower back, lumbar spine and pelvis"
10810,9:839F,Injury,"abdomen, lower back, lumbar spine and pelvis"
10811,9:839G,Injury,"abdomen, lower back, lumbar spine and pelvis"
10812,9:839H,Injury,"abdomen, lower back, lumbar spine and pelvis"
10813,9:846,Injury,"abdomen, lower back, lumbar spine and pelvis"
10814,9:846A,Injury,"abdomen, lower back, lumbar spine and pelvis"
10815,9:846B,Injury,"abdomen, lower back, lumbar spine and pelvis"
10816,9:846C,Injury,"abdomen, lower back, lumbar spine and pelvis"
10817,9:846D,Injury,"abdomen, lower back, lumbar spine and pelvis"
10818,9:846W,Injury,"abdomen, lower back, lumbar spine and pelvis"
10819,9:846X,Injury,"abdomen, lower back, lumbar spine and pelvis"
10820,9:847,Injury,"abdomen, lower back, lumbar spine and pelvis"
10821,9:847C,Injury,"abdomen, lower back, lumbar spine and pelvis"
10822,9:847D,Injury,"abdomen, lower back, lumbar spine and pelvis"
10823,9:847E,Injury,"abdomen, lower back, lumbar spine and pelvis"
10824,9:847X,Injury,"abdomen, lower back, lumbar spine and pelvis"
