,US UniICD,System,Description
26745,8:788,Symptoms and signs,Digestive system and abdomen
26746,8:788.9,Symptoms and signs,Digestive system and abdomen
26747,8:791,Symptoms and signs,Digestive system and abdomen
26748,8:796,Symptoms and signs,Digestive system and abdomen
26749,8:796.0,Symptoms and signs,Digestive system and abdomen
26750,8:E930,Symptoms and signs,Digestive system and abdomen
26751,9:078,Symptoms and signs,Digestive system and abdomen
26752,9:0788,Symptoms and signs,Digestive system and abdomen
26753,9:07882,Symptoms and signs,Digestive system and abdomen
26754,9:536,Symptoms and signs,Digestive system and abdomen
26755,9:5362,Symptoms and signs,Digestive system and abdomen
26756,9:568,Symptoms and signs,Digestive system and abdomen
26757,9:5688,Symptoms and signs,Digestive system and abdomen
26758,9:56882,Symptoms and signs,Digestive system and abdomen
26759,9:569,Symptoms and signs,Digestive system and abdomen
26760,9:5698,Symptoms and signs,Digestive system and abdomen
26761,9:56987,Symptoms and signs,Digestive system and abdomen
26762,9:608,Symptoms and signs,Digestive system and abdomen
26763,9:6089,Symptoms and signs,Digestive system and abdomen
26764,9:625,Symptoms and signs,Digestive system and abdomen
26765,9:6259,Symptoms and signs,Digestive system and abdomen
26766,9:782,Symptoms and signs,Digestive system and abdomen
26767,9:7824,Symptoms and signs,Digestive system and abdomen
26768,9:784,Symptoms and signs,Digestive system and abdomen
26769,9:7849,Symptoms and signs,Digestive system and abdomen
26770,9:78499,Symptoms and signs,Digestive system and abdomen
26771,9:787,Symptoms and signs,Digestive system and abdomen
26772,9:7870,Symptoms and signs,Digestive system and abdomen
26773,9:78701,Symptoms and signs,Digestive system and abdomen
26774,9:78702,Symptoms and signs,Digestive system and abdomen
26775,9:78703,Symptoms and signs,Digestive system and abdomen
26776,9:78704,Symptoms and signs,Digestive system and abdomen
26777,9:7871,Symptoms and signs,Digestive system and abdomen
26778,9:7872,Symptoms and signs,Digestive system and abdomen
26779,9:78720,Symptoms and signs,Digestive system and abdomen
26780,9:78721,Symptoms and signs,Digestive system and abdomen
26781,9:78722,Symptoms and signs,Digestive system and abdomen
26782,9:78723,Symptoms and signs,Digestive system and abdomen
26783,9:78724,Symptoms and signs,Digestive system and abdomen
26784,9:78729,Symptoms and signs,Digestive system and abdomen
26785,9:7873,Symptoms and signs,Digestive system and abdomen
26786,9:7874,Symptoms and signs,Digestive system and abdomen
26787,9:7875,Symptoms and signs,Digestive system and abdomen
26788,9:7876,Symptoms and signs,Digestive system and abdomen
26789,9:78760,Symptoms and signs,Digestive system and abdomen
26790,9:78761,Symptoms and signs,Digestive system and abdomen
26791,9:78762,Symptoms and signs,Digestive system and abdomen
26792,9:78763,Symptoms and signs,Digestive system and abdomen
26793,9:7877,Symptoms and signs,Digestive system and abdomen
26794,9:7879,Symptoms and signs,Digestive system and abdomen
26795,9:78791,Symptoms and signs,Digestive system and abdomen
26796,9:78799,Symptoms and signs,Digestive system and abdomen
26797,9:789,Symptoms and signs,Digestive system and abdomen
26798,9:7890,Symptoms and signs,Digestive system and abdomen
26799,9:78900,Symptoms and signs,Digestive system and abdomen
26800,9:78901,Symptoms and signs,Digestive system and abdomen
26801,9:78902,Symptoms and signs,Digestive system and abdomen
26802,9:78903,Symptoms and signs,Digestive system and abdomen
26803,9:78904,Symptoms and signs,Digestive system and abdomen
26804,9:78905,Symptoms and signs,Digestive system and abdomen
26805,9:78906,Symptoms and signs,Digestive system and abdomen
26806,9:78907,Symptoms and signs,Digestive system and abdomen
26807,9:78909,Symptoms and signs,Digestive system and abdomen
26808,9:7891,Symptoms and signs,Digestive system and abdomen
26809,9:7892,Symptoms and signs,Digestive system and abdomen
26810,9:7893,Symptoms and signs,Digestive system and abdomen
26811,9:78930,Symptoms and signs,Digestive system and abdomen
26812,9:78931,Symptoms and signs,Digestive system and abdomen
26813,9:78932,Symptoms and signs,Digestive system and abdomen
26814,9:78933,Symptoms and signs,Digestive system and abdomen
26815,9:78934,Symptoms and signs,Digestive system and abdomen
26816,9:78935,Symptoms and signs,Digestive system and abdomen
26817,9:78936,Symptoms and signs,Digestive system and abdomen
26818,9:78937,Symptoms and signs,Digestive system and abdomen
26819,9:78939,Symptoms and signs,Digestive system and abdomen
26820,9:7894,Symptoms and signs,Digestive system and abdomen
26821,9:78940,Symptoms and signs,Digestive system and abdomen
26822,9:78941,Symptoms and signs,Digestive system and abdomen
26823,9:78942,Symptoms and signs,Digestive system and abdomen
26824,9:78943,Symptoms and signs,Digestive system and abdomen
26825,9:78944,Symptoms and signs,Digestive system and abdomen
26826,9:78945,Symptoms and signs,Digestive system and abdomen
26827,9:78946,Symptoms and signs,Digestive system and abdomen
26828,9:78947,Symptoms and signs,Digestive system and abdomen
26829,9:78949,Symptoms and signs,Digestive system and abdomen
26830,9:7895,Symptoms and signs,Digestive system and abdomen
26831,9:78951,Symptoms and signs,Digestive system and abdomen
26832,9:78959,Symptoms and signs,Digestive system and abdomen
26833,9:7896,Symptoms and signs,Digestive system and abdomen
26834,9:78960,Symptoms and signs,Digestive system and abdomen
26835,9:78961,Symptoms and signs,Digestive system and abdomen
26836,9:78962,Symptoms and signs,Digestive system and abdomen
26837,9:78963,Symptoms and signs,Digestive system and abdomen
26838,9:78964,Symptoms and signs,Digestive system and abdomen
26839,9:78965,Symptoms and signs,Digestive system and abdomen
26840,9:78966,Symptoms and signs,Digestive system and abdomen
26841,9:78967,Symptoms and signs,Digestive system and abdomen
26842,9:78969,Symptoms and signs,Digestive system and abdomen
26843,9:7897,Symptoms and signs,Digestive system and abdomen
26844,9:7899,Symptoms and signs,Digestive system and abdomen
26845,9:792,Symptoms and signs,Digestive system and abdomen
26846,9:7921,Symptoms and signs,Digestive system and abdomen
26847,9:V416,Symptoms and signs,Digestive system and abdomen
26848,10:R50,Symptoms and signs,General symptoms and signs
26849,10:R51,Symptoms and signs,General symptoms and signs
26850,10:R52,Symptoms and signs,General symptoms and signs
26851,10:R53,Symptoms and signs,General symptoms and signs
26852,10:R54,Symptoms and signs,General symptoms and signs
26853,10:R55,Symptoms and signs,General symptoms and signs
26854,10:R56,Symptoms and signs,General symptoms and signs
26855,10:R57,Symptoms and signs,General symptoms and signs
26856,10:R58,Symptoms and signs,General symptoms and signs
26857,10:R59,Symptoms and signs,General symptoms and signs
26858,10:R60,Symptoms and signs,General symptoms and signs
26859,10:R61,Symptoms and signs,General symptoms and signs
26860,10:R62,Symptoms and signs,General symptoms and signs
26861,10:R63,Symptoms and signs,General symptoms and signs
26862,10:R64,Symptoms and signs,General symptoms and signs
26863,10:R65,Symptoms and signs,General symptoms and signs
26864,10:R68,Symptoms and signs,General symptoms and signs
26865,10:R69,Symptoms and signs,General symptoms and signs
26866,8:136,Symptoms and signs,General symptoms and signs
26867,8:269,Symptoms and signs,General symptoms and signs
26868,8:277,Symptoms and signs,General symptoms and signs
26869,8:279,Symptoms and signs,General symptoms and signs
26870,8:287,Symptoms and signs,General symptoms and signs
26871,8:301,Symptoms and signs,General symptoms and signs
26872,8:301.8,Symptoms and signs,General symptoms and signs
26873,8:305,Symptoms and signs,General symptoms and signs
26874,8:306,Symptoms and signs,General symptoms and signs
26875,8:306.5,Symptoms and signs,General symptoms and signs
26876,8:344,Symptoms and signs,General symptoms and signs
26877,8:344.3,Symptoms and signs,General symptoms and signs
26878,8:356,Symptoms and signs,General symptoms and signs
26879,8:357,Symptoms and signs,General symptoms and signs
26880,8:378,Symptoms and signs,General symptoms and signs
26881,8:387,Symptoms and signs,General symptoms and signs
26882,8:427,Symptoms and signs,General symptoms and signs
26883,8:445,Symptoms and signs,General symptoms and signs
26884,8:458,Symptoms and signs,General symptoms and signs
26885,8:458.9,Symptoms and signs,General symptoms and signs
26886,8:508,Symptoms and signs,General symptoms and signs
26887,8:508.9,Symptoms and signs,General symptoms and signs
26888,8:526,Symptoms and signs,General symptoms and signs
26889,8:526.9,Symptoms and signs,General symptoms and signs
26890,8:527,Symptoms and signs,General symptoms and signs
26891,8:527.7,Symptoms and signs,General symptoms and signs
26892,8:692,Symptoms and signs,General symptoms and signs
26893,8:708,Symptoms and signs,General symptoms and signs
26894,8:709,Symptoms and signs,General symptoms and signs
26895,8:733,Symptoms and signs,General symptoms and signs
26896,8:738,Symptoms and signs,General symptoms and signs
26897,8:738.3,Symptoms and signs,General symptoms and signs
26898,8:778,Symptoms and signs,General symptoms and signs
26899,8:778.9,Symptoms and signs,General symptoms and signs
26900,8:780,Symptoms and signs,General symptoms and signs
26901,8:780.2,Symptoms and signs,General symptoms and signs
26902,8:780.7,Symptoms and signs,General symptoms and signs
26903,8:781,Symptoms and signs,General symptoms and signs
26904,8:781.3,Symptoms and signs,General symptoms and signs
26905,8:781.6,Symptoms and signs,General symptoms and signs
26906,8:782,Symptoms and signs,General symptoms and signs
26907,8:782.5,Symptoms and signs,General symptoms and signs
26908,8:782.6,Symptoms and signs,General symptoms and signs
26909,8:782.7,Symptoms and signs,General symptoms and signs
26910,8:782.9,Symptoms and signs,General symptoms and signs
26911,8:783,Symptoms and signs,General symptoms and signs
26912,8:784,Symptoms and signs,General symptoms and signs
26913,8:784.0,Symptoms and signs,General symptoms and signs
26914,8:785,Symptoms and signs,General symptoms and signs
26915,8:787,Symptoms and signs,General symptoms and signs
26916,8:788,Symptoms and signs,General symptoms and signs
26917,8:788.1,Symptoms and signs,General symptoms and signs
26918,8:788.4,Symptoms and signs,General symptoms and signs
26919,8:788.8,Symptoms and signs,General symptoms and signs
26920,8:788.9,Symptoms and signs,General symptoms and signs
26921,8:790,Symptoms and signs,General symptoms and signs
26922,8:790.1,Symptoms and signs,General symptoms and signs
26923,8:791,Symptoms and signs,General symptoms and signs
26924,8:794,Symptoms and signs,General symptoms and signs
26925,8:796,Symptoms and signs,General symptoms and signs
26926,8:796.0,Symptoms and signs,General symptoms and signs
26927,8:796.2,Symptoms and signs,General symptoms and signs
26928,8:796.9,Symptoms and signs,General symptoms and signs
26929,8:E930,Symptoms and signs,General symptoms and signs
26930,8:E931,Symptoms and signs,General symptoms and signs
26931,8:E931.8,Symptoms and signs,General symptoms and signs
26932,8:E934,Symptoms and signs,General symptoms and signs
26933,8:E934.9,Symptoms and signs,General symptoms and signs
26934,8:E936,Symptoms and signs,General symptoms and signs
26935,8:E968,Symptoms and signs,General symptoms and signs
26936,8:N962,Symptoms and signs,General symptoms and signs
26937,8:N968,Symptoms and signs,General symptoms and signs
26938,8:N977,Symptoms and signs,General symptoms and signs
26939,8:N977.8,Symptoms and signs,General symptoms and signs
26940,8:N988,Symptoms and signs,General symptoms and signs
26941,8:N994,Symptoms and signs,General symptoms and signs
26942,8:N994.3,Symptoms and signs,General symptoms and signs
26943,8:N995,Symptoms and signs,General symptoms and signs
26944,8:N998,Symptoms and signs,General symptoms and signs
26945,8:N998.9,Symptoms and signs,General symptoms and signs
26946,8:N999,Symptoms and signs,General symptoms and signs
26947,8:N999.8,Symptoms and signs,General symptoms and signs
26948,9:338,Symptoms and signs,General symptoms and signs
26949,9:3381,Symptoms and signs,General symptoms and signs
26950,9:33819,Symptoms and signs,General symptoms and signs
26951,9:459,Symptoms and signs,General symptoms and signs
26952,9:4590,Symptoms and signs,General symptoms and signs
26953,9:527,Symptoms and signs,General symptoms and signs
26954,9:5277,Symptoms and signs,General symptoms and signs
26955,9:780,Symptoms and signs,General symptoms and signs
26956,9:7802,Symptoms and signs,General symptoms and signs
